address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,36,36,,,,Construction status not started as of 31 March 2017. Planning permission details as of 27 October 2017.,,,,,,local-authority-eng:SLF,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,S/BRO/004,"Former Royal Archer Public House, Lower Broughton Road",https://map.salford.gov.uk/maps/?lyrs=brownfield_land_register_2017#19/53.491479/-2.264023,,,2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,7,7,,,,Planning permission14/65517/FUL. Construction status not started as of 31 March 2017. Planning permission details as of 27 October 2017.,,,,,,local-authority-eng:SLF,,not owned by a public authority,,,,,,,,2015-01-28,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,S/BRO/010,"Land to the north of Priory Grove, Salford, M7 2HF",https://map.salford.gov.uk/maps/?lyrs=brownfield_land_register_2017#19/53.503597/-2.267595,,,2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,59,59,,,,Planning permission 17/70056/FUL. Construction status not started as of 31 March 2017. Planning permission details as of 27 October 2017.,,,,,,local-authority-eng:SLF,,not owned by a public authority,,,,,,,,,,pending decision,,,,,,,,,,,,,,,,,,,,,,,S/BRO/032,"Land Formerly Griffin Hotel, 298 Lower Broughton Road, Salford",https://map.salford.gov.uk/maps/?lyrs=brownfield_land_register_2017#19/53.498968/-2.269781,,,2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,42,42,,,,Planning permission 14/64798/OUT. Construction status not started as of 31 March 2017. Planning permission details as of 27 October 2017.,,,,,,local-authority-eng:SLF,,not owned by a public authority,,,,,,,,2016-09-19,,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,S/BRO/043,"Manchester Alloys & Metals, Meadow Road, Salford, M7 1PA",https://map.salford.gov.uk/maps/?lyrs=brownfield_land_register_2017#19/53.489371/-2.267828,,,2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,1,1,,,,Construction status not started as of 31 March 2017. Planning permission details as of 27 October 2017.,,,,,,local-authority-eng:SLF,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,S/BRO/062,"238 Lower Broughton Road, Salford",https://map.salford.gov.uk/maps/?lyrs=brownfield_land_register_2017#19/53.496610/-2.267685,,,2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,16,16,,,,Planning permission15/66855/FUL. Construction status not started as of 31 March 2017. Planning permission details as of 27 October 2017.,,,,,,local-authority-eng:SLF,,not owned by a public authority,,,,,,,,2016-05-06,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,S/BRO/087,"Castle Green, 342-344 Lower Broughton Road, Salford, M7 2HY",https://map.salford.gov.uk/maps/?lyrs=brownfield_land_register_2017#19/53.501274/-2.269007,,,2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,2,2,,,,Planning permission16/68552/FUL. Construction status not started as of 31 March 2017. Planning permission details as of 27 October 2017.,,,,,,local-authority-eng:SLF,,not owned by a public authority,,,,,,,,2016-11-28,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,S/BRO/090,"Land formerly 178 and 180 Great Clowes Street, Salford, M7 1XU",https://map.salford.gov.uk/maps/?lyrs=brownfield_land_register_2017#19/53.498202/-2.259148,,,2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,3,3,,,,Planning permission16/69286/FUL. Construction status not started as of 31 March 2017. Planning permission details as of 27 October 2017.,,,,,,local-authority-eng:SLF,,not owned by a public authority,,,,,,,,2017-04-24,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,S/BRO/091,"17 Alexander Gardens, Salford, M7 1RY",https://map.salford.gov.uk/maps/?lyrs=brownfield_land_register_2017#19/53.492770/-2.258859,,,2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,14,14,,,,Planning permission16/68998/FUL. Construction status not started as of 31 March 2017. Planning permission details as of 27 October 2017.,,,,,,local-authority-eng:SLF,,not owned by a public authority,,,,,,,,2017-05-26,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,S/BRO/092,"212 Great Clowes Street, Salford, M7 2ZS",https://map.salford.gov.uk/maps/?lyrs=brownfield_land_register_2017#19/53.500009/-2.260281,,,2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,3,3,,,,Construction status not started as of 31 March 2017. Planning permission details as of 27 October 2017.,,,,,,local-authority-eng:SLF,,not owned by a public authority,,,,,,,,2017-05-17,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,S/BRO/093,"4A Great Cheetham Street West, Salford, M7 2JE",https://map.salford.gov.uk/maps/?lyrs=brownfield_land_register_2017#19/53.499295/-2.269499,,,2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,
