address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,31/12/2017,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,not owned by a public authority,,,,,,,,2015-08-21,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV7LKID877&activeTab=summary,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR23,"Block B, Latchmore Court, Hitchin",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Hitchin%20Sites.pdf,,,31/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,31/12/2017,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,18,18,,,,,,,,,,,,not owned by a public authority,,,,,,,,2015-11-27,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV5LKID716&activeTab=summary,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR24,"Hitchin Hospital, Talbot Street",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Hitchin%20Sites.pdf,,,31/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,31/12/2017,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,,,not owned by a public authority,,,,,,,,2016-08-03,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV4LKID792&activeTab=summary,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BR25,"Elderley Persons Home, Wratten Road West, Hitchin",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Hitchin%20Sites.pdf,,,31/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,31/12/2017,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,,,not owned by a public authority,,,,,,,,2016-06-14,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV4LKID649&activeTab=summary,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BR26,"The Nightingale, Nightingale Road, Hitchin",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Hitchin%20Sites.pdf,,,31/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,31/12/2017,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,25,25,,,,,,,,,,,,not owned by a public authority,,,,,,,,2014-07-30,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYVBLKID356&activeTab=summary,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR27,"20-22 Station Road, Letchworth Garden City",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,,,31/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,31/12/2017,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,45,45,,,,,,,,,,,,not owned by a public authority,,,,,,,,2015-02-24,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV9LKID736&activeTab=summary,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR28,"Garden Square Shopping Centre, Leys Avenue, Letchworth",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,,,31/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,31/12/2017,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,,,not owned by a public authority,,,,,,,,2015-10-05,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV5LKID013&activeTab=summary,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR29,"10 Burns Road, Royston",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Royston%20Sites.pdf,,,31/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,31/12/2017,,,,,,,,,,,,,,3.86,,,,,,,,,,,,,,,,,,123,123,,,,,,,,,,,,not owned by a public authority,,,,,,,,,,Not permissioned,,,,,,,,,,,,,,,,,,,,,,,BR30,"Railway Sidings, St. Michael's Road, Hitchin",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Hitchin%20Sites.pdf,,,31/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,31/12/2017,,,,,,,,,,,,,,3.57,,,,,,,,,,,,,,,,,,71,71,,,,,,,,,,,,not owned by a public authority,,,,,,,,,https://pa2.north-herts.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=ZZZYV2LKID605,pending decision,,,,,,,,,,,,,,,,,,,,,,,BR31,"Bowman's Flour Mill, Ickleford",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Hitchin%20Sites.pdf,,,31/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,31/12/2017,,,,,,,,,,,,,,4.01,,,,,,,,,,,,,,,,,,70,70,,,,,,,,,,,,not owned by a public authority,,,,,,,,2017-05-12,https://pa2.north-herts.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=ZZZYV1LKID999,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR32,"Oddysey Health Club, Knebworth",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Knebworth%20Sites.pdf,,,31/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,31/12/2017,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,not owned by a public authority,,,,,,,,,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV0LKID566&activeTab=summary,pending decision,,,,,,,,,,,,,,,,,,,,,,,BR33,"The Station, Station Approach, Knebworth",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Knebworth%20Sites.pdf,,,31/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,31/12/2017,,,,,,,,,,,,,,1.59,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,not owned by a public authority,,,,,,,,,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZYUXLKID838,pending decision,,,,,,,,,,,,,,,,,,,,,,,BR34,"Paul Bromfield Aquatics, Maydencroft Lane, Gosmore",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Gosmore%20Site.pdf,,,31/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,31/12/2017,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,44,44,,,,,,,,,,,,not owned by a public authority,,,,,,,,,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV2LKID122&activeTab=summary,pending decision,,,,,,,,,,,,,,,,,,,,,,,BR35,"Former Lannock School, Whiteway, Letchworth",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,,,31/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
