address,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0033,"""Garages to the north of 84 Falstones, Basildon. SS15 5BX""",0.443531,51.571421,https://www.basildon.gov.uk/media/8567/BLR/pdf/BLR.pdf,0.15,owned by a public authority,,not permissioned,,,,3,3,5,yes,Deliverable within 3 years. 07/08/17. 31/08/18. 21/08/19.,07/08/2017,21/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0034,"""Garages to the north of 108 Falstones, Basildon. SS15 5DF""",0.442107,51.570956,https://www.basildon.gov.uk/media/8568/BLR/pdf/BLR.pdf,0.3,owned by a public authority,,not permissioned,,,,7,7,10,yes,Deliverable within 3 years. 07/08/17. 31/08/18. 21/08/19.,07/08/2017,21/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0035,"""Garages to the north of 86 Paprills, Basildon. SS16 5QX""",0.441623,51.565975,https://www.basildon.gov.uk/media/8569/BLR/pdf/BLR.pdf,0.28,owned by a public authority,,not permissioned,,,,4,4,9,yes,Deliverable within 3 years. 07/08/17. 31/08/18. 22/08/19.,07/08/2017,22/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0036,"""Garages north and west of 1 Cadogan Terrace, Basildon. SS13 2BD""",0.515851,51.573544,https://www.basildon.gov.uk/media/8570/BLR/pdf/BLR.pdf,0.17,owned by a public authority,,not permissioned,,,,4,4,9,yes,Deliverable within 3 years. 07/08/17. 31/08/18. 22/08/19.,07/08/2017,22/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0037,"""Garages to the south of 11 Culverdown, Basildon. SS14 2AL""",0.458822,51.573161,https://www.basildon.gov.uk/media/8571/BLR/pdf/BLR.pdf,0.21,owned by a public authority,,not permissioned,,,,6,6,7,yes,Deliverable within 3 years. 07/08/17. 31/08/18. 22/08/19.,07/08/2017,22/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0038,"""Garages to the west of 85 Great Mistley, Basildon. SS16 4BE""",0.471276,51.565435,https://www.basildon.gov.uk/media/8572/BLR/pdf/BLR.pdf,0.17,owned by a public authority,,not permissioned,,,,5,5,9,yes,Deliverable within 3 years. 07/08/17. 31/08/18. 22/08/19.,07/08/2017,22/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0039,"""1A Bruce Grove, Wickford, Essex.""",0.539203,51.608493,https://www.basildon.gov.uk/media/8573/BLR/pdf/BLR.pdf,0.94,not owned by a public authority,,permissioned,reserved matters approval,18/04/2018,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,49,49,49,yes,Outline and Reserved Matters permission  granted. Works have not commenced. Permission expires 18/04/2021. Only to be removed once expired or completed. Deliverable within 3 years. 05/09/17. 31/08/18. 07/08/19.,05/09/2017,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0043,"""Black Horse House, Bentalls, Basildon, Essex. SS14 3BY""",0.456473,51.582069,https://www.basildon.gov.uk/media/8577/BLR/pdf/BLR.pdf,0.03,not owned by a public authority,,permissioned,other,10/04/2015,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,28,28,28,yes,Prior approval granted. Works have not commenced. Only to be removed once completed or expired 04/10/2020. Deliverable within 2 years. 20/09/17. 31/08/18. 07/08/19.,20/09/2017,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0045,"""Barn Farm, Cranfield Park Road, Wickford, Essex. SS12 9ES""",0.529371,51.597922,https://www.basildon.gov.uk/media/8579/BLR/pdf/BLR.pdf,0.47,not owned by a public authority,,permissioned,full planning permission,06/11/2015,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,4,4,4,yes,Planning Permission granted. Works commenced. Only to be removed once completed. Deliverable within 1 year. 06/09/17. 31/08/18. 07/08/19.,06/09/2017,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0048,"""21 Cavell Road, Billericay, Essex. CM11 2HR""",0.432995,51.624071,https://www.basildon.gov.uk/media/8582/BLR/pdf/BLR.pdf,0.07,not owned by a public authority,,permissioned,full planning permission,09/10/2015,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,6,6,6,yes,Planning Permission  granted. Works have commenced. Only to be removed once completed. Deliverable within 1 year. 20/09/17. 31/08/18. 07/08/19.,20/09/2017,07/08/2019,
