OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0067,"""Land south of Cromwell  Road (former PZ Cussons), Ellesmere Port""",340891,376084,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,1.535,not owned by a public authority,,permissioned,outline planning permission,2010-03-19,,,71,,,P/08/745   P/2008/102/ST/745,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0096,"""53 Whitby Road, Ellesmere Port CH65 8AB""",340150,376238,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,0.05,not owned by a public authority,,permissioned,full planning permission,2016-07-26,,,10,,yes,16/02077/FUL,2017-12-21,2019-12-01,2019-12-01
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0117,"""Agra Fort, 3 to 7 Cambridge Road, Ellesmere Port, CH65 8AB""",340239,376341,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,0.3,not owned by a public authority,,permissioned,full planning permission,2017-09-14,,,8,,yes,17/02172/FUL,2018-12-30,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0118,"""Phoenix Social Club, Cromwell Road, Ellesmere Port, CH65 4AA",340329,376362,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,0.0162,not owned by a public authority,,permissioned,full planning permission,2017-12-08,,,20,,yes,17/02173/FUL,2018-12-30,2019-12-01,2019-12-01
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0126,"""Grace Arms, Stanney Lane, Ellesmere Port""",340130,375483,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,0.4,not owned by a public authority,,not permissioned,,,,,,,yes,17/04425/FUL (withdrawn),2018-12-30,2019-12-01,2019-12-01
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,FAR/0054,"""Grosvenor Estate Yard, Middle Lane, Aldford, Chester CH3 6JA""",341981,359201,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,0.661,not owned by a public authority,,not permissioned,,,,,8,,,08/01294/FUL  11/04335/EXT,2017-12-21,,
,,FRO/0037A,"""Land at Bridge Lane, Frodsham""",352315,378194,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,0.164,not owned by a public authority,,not permissioned,,,,,10,,,,2019-12-01,2019-12-01,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,FRO/0038,"""Land off Greenfield Lane, Frodsham""",351641,378004,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,0.371,not owned by a public authority,,not permissioned,,,,,11,,,Site in Outer hazard zone,2017-12-21,,
,,FRO/0040,"""29 Main Street, Frodsham""",351352,377677,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,0.083,not owned by a public authority,,permissioned,outline planning permission,2018-11-20,,,8,,,18/01239/OUT,2019-12-01,2019-12-01,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,FRO/0041,"""Land off Queensway, Frodsham""",351740,377614,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,0.253,owned by a public authority,,not permissioned,,,,,,,,,2018-12-30,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,FRO/0054,"""Mersey View Club, Overton Hill, Bellemonte Road, Frodsham Cheshire WA6 6HH """,351768,376833,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,1.39,not owned by a public authority,,permissioned,outline planning permission,2015-11-19,,,12,,yes,14/03835/OUT,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GAQ/0005,"""Land to rear of Crane Bank Garage, Chester""",339821,366410,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,0.184,not owned by a public authority,,not permissioned,,,,,12,,,Site in Middle;Outer hazard zone,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GAQ/0006,"""Southern Tail development (remaining part of allocation), New Crane Street""",339830,366318,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,0.656,not owned by a public authority,,not permissioned,,,,,31,,,,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GAQ/0024,"""Raymond House and Diocesan House, Raymond Street, Chester""",340076,366630,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,0.049,not owned by a public authority,,permissioned,full planning permission,2015-10-14,,,10,,yes,15/02650/FUL,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GRA/0010,"""Council depot and garage court off Sutton Way, Ellesmere Port""",339390,375938,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,0.377,owned by a public authority,,not permissioned,,,,,,,,,2017-12-21,2018-12-30,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GRA/0012(a),"""Former school site (The Acorns Primary and Nursery), Pooltown Road, Ellesmere Port""",338914,376352,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,0.455,owned by a public authority,,not permissioned,,,,,59,,,,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GRB/0034(a),"""Beechmoor Garden Centre / Shed sales, Whitchurch Road, Chester, Cheshire, CH3 5QD""",343084,365866,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,0.929,not owned by a public authority,,permissioned,Full planning permission,2019-07-17,,,111,,,17/03661/FUL allowed on appeal,2017-12-21,2019-12-01,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GRB/0042,"""Foxwood, Caldy Valley Road, Great Boughton Chester Cheshire CH3 5PR""",342924,365913,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,0.198,not owned by a public authority,,permissioned,full planning permission,2016-02-10,,,7,,yes,15/01278/FUL,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,HAG/0028,"""176 and 178 Chester Road, Northwich, CW8 4AL""",364487,372982,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,0.103,not owned by a public authority,,not permissioned,outline planning permission,2013-08-23,,,10,,,13/02368/OUT,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,HAG/0065,"""Abbey Lodge, Abbey Lane, Hartford, CW8 1LX""",363564,371982,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,0.438,not owned by a public authority,,permissioned,full planning permission,2017-04-05,,,8,,yes,16/03165/FUL (allowed on appeal),2018-12-30,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,HAP/0030,"""Land to rear of 45-51 Percy Road / 15-17 Eaton Road, Handbridge""",340827,365335,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,0.294,mixed ownership,,not permissioned,,,,,8,,,,2017-12-21,,
