address,address-text,deliverable,end-date,entry-date,hazardous-substances,hectares,latitude,longitude,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate,site-plan-url,start-date
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Land at 44 Church Street, Shipbrook Road, Davenham""",366428,371202,http://consult.cheshirewestandchester.gov.uk/file/4828205,0.27,not owned by a public authority,,not permissioned,,,,27,,,,,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Land to rear of The Salt Museum, London Road, Northwich""",365796,373162,http://consult.cheshirewestandchester.gov.uk/file/4828206,0.26,owned by a public authority,,not permissioned,,,,18,,,,,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Land at 618 London Road, Davenham""",366095,370214,http://consult.cheshirewestandchester.gov.uk/file/4828207,0.73,not owned by a public authority,,not permissioned,,,,53,,,,,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Land at Decoy Farm, Lache Lane, Marlston cum Lache, Chester""",338052,362851,http://consult.cheshirewestandchester.gov.uk/file/4828208,1.13,not owned by a public authority,,permissioned,,,,24,,,,15/01429/OUT,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Balderton Saw Mill, Welsh Road, Doddleston""",337534,362142,http://consult.cheshirewestandchester.gov.uk/file/4828209,1.67,not owned by a public authority,,permissioned,,,,25,,,,13/04534/OUT,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""93-99 Chester Road (Hartwell Garage),Huntington Road, Huntington""",342375,364483,http://consult.cheshirewestandchester.gov.uk/file/4828210,0.44,not owned by a public authority,,pending decision,,,,5,,,,17/00662/FUL|Site in outer hazaed zone,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Land at Marina Drive (upper floors of retail centre), Ellesmere Port""",339966,376014,http://consult.cheshirewestandchester.gov.uk/file/4828211,1.17,not owned by a public authority,,not permissioned,,,,33,,,,,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""The Wing Half, Alnwick Drive, Ellesmere Port CH65 9HE""",340917,374816,http://consult.cheshirewestandchester.gov.uk/file/4828212,0.13,not owned by a public authority,,permissioned,,,,6,,,,14/01081/FUL,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""64 Whitby Road, Ellesmere Port CH65 0AA""",340034,376209,http://consult.cheshirewestandchester.gov.uk/file/4828213,0.03,not owned by a public authority,,permissioned,,,,5,,,,14/03263/PDJ,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""CROMWELL ROAD - Phase 1b and 2 - Land north of Cromwell Road, Ellesmere Port (adjacent site EPT0092)""",340601,376357,http://consult.cheshirewestandchester.gov.uk/file/4828214,4.76,not owned by a public authority,,permissioned,,,,149,,,,"14/00041/OUT, 16/05392/REM (pending)",21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""CROMWELL ROAD - Land north of Cromwell Road, Ellesmere Port (former HH Robertsons / DSM Resins)""",340804,376301,http://consult.cheshirewestandchester.gov.uk/file/4828215,4.59,not owned by a public authority,,permissioned,,,,350,,,,14/00041/OUT,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Wellington Road car park, rear of 89 - 109 Cambridge Road, Ellesmere Port""",340525,376222,http://consult.cheshirewestandchester.gov.uk/file/4828216,0.82,owned by a public authority,,not permissioned,,,,26,,,,Site in Middle;Outer hazard zone,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""The Knot PH, Whitby Road, Ellesmere Port""",340180,376243,http://consult.cheshirewestandchester.gov.uk/file/4828217,0.24,not owned by a public authority,,not permissioned,,,,9,,,,,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Wellington Road car park, Ellesmere Port Cheshire """,340078,375598,http://consult.cheshirewestandchester.gov.uk/file/4828218,0.18,owned by a public authority,,permissioned,,,,10,,,,16/04482/FUL,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Land at Coronation Road (site of former leisure centre and office building), Stanney Lane, Ellesmere Port""",340032,375660,http://consult.cheshirewestandchester.gov.uk/file/4828219,2.02,owned by a public authority,,not permissioned,,,,30,,,,,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Land south of Cromwell  Road (former PZ Cussons), Ellesmere Port""",340891,376085,http://consult.cheshirewestandchester.gov.uk/file/4828220,1.54,not owned by a public authority,,not permissioned,,,,71,,,,P/08/745   P/2008/102/ST/745,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Stoak Lodge, Stoak Gardens, Ellesmere Port CH65 0DW""",340417,375868,http://consult.cheshirewestandchester.gov.uk/file/4828221,0.19,not owned by a public authority,,permissioned,,,,6,,,,"16/00281/FUL
16/04087/NMA
16/05378/DEM",21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Land adjacent to 43 Malvern Avenue, Ellesmere Port CH65 5AG""",340515,375455,http://consult.cheshirewestandchester.gov.uk/file/4828222,0.12,not owned by a public authority,,permissioned,,,,5,,,,16/00280/FUL,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""53 Whitby Road, Ellesmere Port CH65 8AB""",340150,376238,http://consult.cheshirewestandchester.gov.uk/file/4828223,0.05,not owned by a public authority,,permissioned,,,,10,,,,16/02077/FUL,21/12/2017,,,,
