resource,row-count
30a93d60a53723e9bf458f74f45675bcdef1eb4dcc80ca195188fc2d68fe7e16,186
30f6d520678eea3f004091763bce629792a5851d6317061ce8c57c148c9c09eb,50
325bfbb3c1555b5aab52040f7491dca408ae32da52ea0fb8d0e88df4ead0a43a,-1
325f44a5355f23ac28705fb0dd92f18f041afaa8307c9bcfe0f0a856f789e346,-1
326a317ce815c8e097c7375f212621f75b8348aa48d9d7b7975c056c12c375bd,8
32bf55e218c91bb245054bd8f1a2b0193dca16a1af7a2217933baf2db515bef8,63
33dba14b8bea82c6e6daaf50c1f1a7d5d600e918df2e1755bb34d28c375e8328,-1
33df9ace674c23689ecfd37907e4d9bc1e456185b73a1bb73008249d2c1fc5ee,71
341038260cf71356e3731b942df352cbb2f60bb1613c928fbf672c7e43f77534,28
34240c200237cd3ba15eb0bd8feb8ac18a4c76afa82d08d6c88bc87f560a099b,88
34377bd3867f434e9e94176a0fdf8a10905bb87eb3bfbdde762eed1f3b5c7555,1
344488f9ce3e3a4dc76c357eb07a9b6db2d6c4494a733d43fde68ebb21505813,93
3469e810e711ee2b96c597a3117973f91389db8456d5b1e87223f5ba2c63071f,38
34e3c37538889673a7227716ccb0faca6e1b1ffa6a0b8bc7807294d8d144577a,-1
3513dbc663e529dae5097f3cc1589f3ba17acc7868e2993a7b72b6ed8627f52d,24
359c6e59e8d182195ffd670edb25b3b2f3b7851f4ed9bb01883ae24314600c3a,19
35a5b9ffa1a48485baa5c6ea9b894f8be59f7fcd0b469aaeb9c205aa0f1de512,24
35b4a9143aae5c902839452d5a610f33d0b3cdf0437b7a17c91a1cc0b66b4454,-1
35bde384fa555a48e4c3007d2b9ad93aeb98bb9bbc43fabe7166c90976e1f442,46
35c7826666b279997e28e4b92cd7d2c643cbeaa9c2a2deecc14efb30f54ecb8c,13
3688fbb5b10e15af8b7acd333750957d591696ffb48b04d8b635355148bbba90,66
370dae5fa1397606d1adab337a12a76e64b4d729ba713ea75a09f94a6f8653df,63
37805390036c847e22eb0615a60403ba241c6dc4bfeae6b7b53b5e3dfcfb28cb,-1
37c12dfb931e781d57d4fcd5bff61adf0a61fc093e03e3530a4ffc1b9af874de,22
386d71e880a38c1c9cbb4bafd6a65d7dfb49aad9067d743a604fb5f6b8216735,144
